student_id,subjects,interests
S001,"Mathematics, Physics, Computer Studies","Robotics, Artificial Intelligence"
S002,"English, Kiswahili, History","Creative Writing, Poetry"
S003,"Biology, Chemistry, Agriculture","Environmental Science, Sustainable Farming"
S004,"Geography, History, Business Studies","Urban Planning, Economics"
S005,"Art and Design, Music, English","Graphic Design, Songwriting"
S006,"Computer Studies, Mathematics, Physics","Data Science, Machine Learning"
S007,"Home Science, Biology, Chemistry","Nutrition, Healthcare"
S008,"Technical Drawing, Physics, Mathematics","Engineering, Architecture"
S009,"Business Studies, Mathematics, Computer Studies","Entrepreneurship, Fintech"
S010,"French, English, History","International Relations, Translation"
S011,"German, Computer Studies, Mathematics","Software Development, Cybersecurity"
S012,"Chemistry, Physics, Mathematics","Nanotechnology, Materials Science"
S013,"Building Construction, Technical Drawing, Mathematics","Civil Engineering, Project Management"
S014,"Woodwork, Metalwork, Physics","Carpentry, Industrial Design"
S015,"CRE, History, English","Theology, Religious Studies"
S016,"IRE, Arabic, History","Islamic Studies, Middle Eastern Culture"
S017,"Agriculture, Biology, Chemistry","Agribusiness, Plant Genetics"
S018,"Music, Art and Design, English","Music Production, Film Scoring"
S019,"Geography, Computer Studies, Mathematics","GIS Mapping, Climate Modeling"
S020,"Business Studies, Economics, Mathematics","Investment Banking, Market Analysis"
S021,"Physics, Computer Studies, Mathematics","Quantum Computing, Algorithm Design"
S022,"English, French, Music","Linguistics, Opera Singing"
S023,"Kiswahili, History, Geography","African Studies, Cultural Preservation"
S024,"Home Science, Chemistry, Biology","Food Science, Dietetics"
S025,"Technical Drawing, Building Construction, Physics","Structural Engineering, Urban Design"
S026,"Woodwork, Art and Design, Mathematics","Furniture Design, 3D Modeling"
S027,"Metalwork, Physics, Computer Studies","Robotics, Industrial Automation"
S028,"CRE, English, History","Christian Counseling, Historical Theology"
S029,"IRE, Geography, History","Islamic Finance, Geopolitics"
S030,"Agriculture, Business Studies, Computer Studies","Agritech, Farm Management"
S031,"Music, Physics, Mathematics","Acoustics Engineering, Sound Design"
S032,"Art and Design, Computer Studies, Mathematics","Digital Art, Game Development"
S033,"French, Business Studies, Geography","International Business, Trade Policy"
S034,"German, Computer Studies, Physics","Automotive Engineering, AI Ethics"
S035,"Chemistry, Home Science, Biology","Cosmetic Chemistry, Product Development"
S036,"Building Construction, Mathematics, Physics","Construction Management, Sustainable Architecture"
S037,"Woodwork, Business Studies, Art and Design","Artisan Entrepreneurship, Craftsmanship"
S038,"Metalwork, Computer Studies, Mathematics","Mechatronics, Industrial Robotics"
S039,"CRE, Kiswahili, History","African Theology, Community Development"
S040,"IRE, Arabic, Computer Studies","Digital Islamic Education, App Development"
S041,"Agriculture, Geography, Computer Studies","Precision Farming, Drone Agriculture"
S042,"Music, English, Business Studies","Music Business, Artist Management"
S043,"Art and Design, History, English","Art History, Museum Curation"
S044,"Technical Drawing, Computer Studies, Mathematics","CAD Engineering, Product Design"
S045,"Home Science, Chemistry, Business Studies","Wellness Branding, Organic Products"
S046,"Physics, German, Mathematics","Scientific Research, Technical Translation"
S047,"Geography, Agriculture, Computer Studies","Climate Smart Agriculture, Data Analysis"
S048,"Business Studies, French, History","International Commerce, Diplomatic Services"
S049,"Woodwork, Metalwork, Art and Design","Sculpture, Public Art Installations"
S050,"Computer Studies, IRE, Mathematics","Islamic Fintech, Blockchain Development"
S051,"Mathematics, Computer Studies, Physics","Artificial Intelligence, Quantum Computing"
S052,"English, Art and Design, Music","Creative Writing, Illustration"
S053,"Biology, Chemistry, Home Science","Medical Research, Pharmacology"
S054,"Geography, History, Business Studies","International Development, Geopolitics"
S055,"Technical Drawing, Building Construction, Mathematics","Architectural Design, Urban Planning"
S056,"Woodwork, Metalwork, Art and Design","Custom Furniture, Metal Sculpture"
S057,"French, English, Business Studies","Luxury Brand Management, Translation"
S058,"German, Computer Studies, Mathematics","Autonomous Systems, Cybersecurity"
S059,"Agriculture, Biology, Geography","Organic Farming, Soil Conservation"
S060,"CRE, History, Kiswahili","Religious Education, African History"
S061,"IRE, Arabic, Computer Studies","Islamic Banking Software, Digital Education"
S062,"Physics, Mathematics, Computer Studies","Astrophysics, Data Modeling"
S063,"Chemistry, Biology, Home Science","Food Chemistry, Nutrition Science"
S064,"Music, Physics, Computer Studies","Audio Engineering, Music Technology"
S065,"Business Studies, Economics, Mathematics","Financial Analysis, Economic Forecasting"
S066,"Art and Design, Computer Studies, Mathematics","UX/UI Design, Digital Animation"
S067,"Technical Drawing, Physics, Computer Studies","Mechatronics, Product Prototyping"
S068,"Home Science, Agriculture, Business Studies","Agribusiness, Rural Development"
S069,"History, English, CRE","Historical Fiction Writing, Archival Studies"
S070,"Geography, Computer Studies, Mathematics","Climate Science, Remote Sensing"
S071,"French, Music, Art and Design","Opera, Theater Production"
S072,"German, Physics, Mathematics","Renewable Energy Systems, Engineering"
S073,"Building Construction, Woodwork, Mathematics","Sustainable Housing, Timber Engineering"
S074,"Metalwork, Computer Studies, Physics","Industrial Automation, Robotics"
S075,"Kiswahili, History, Geography","Swahili Literature, Cultural Tourism"
S076,"Computer Studies, IRE, Business Studies","Halal Tech Startups, Islamic Finance Apps"
S077,"Agriculture, Chemistry, Biology","Pesticide Development, Crop Genetics"
S078,"Music, English, Business Studies","Music Publishing, Artist Management"
S079,"Art and Design, Technical Drawing, Physics","Exhibition Design, Lighting Engineering"
S080,"Home Science, Chemistry, Mathematics","Food Product Development, Quality Control"
S081,"History, CRE, English","Church, History, Religious Document Translation"
S082,"Geography, Agriculture, Computer Studies","Precision Agriculture, Drone Mapping"
S083,"French, Business Studies, Computer Studies","E-commerce, International Digital Marketing"
S084,"German, Technical Drawing, Physics","Automotive Design, Aerodynamics"
S085,"Building Construction, Mathematics, Physics","Earthquake Engineering, Disaster Resilience"
S086,"Woodwork, Art and Design, Business Studies","Artisan Cooperatives, Craft Entrepreneurship"
S087,"Metalwork, Computer Studies, Mathematics","CNC Programming, Industrial Design"
S088,"CRE, Music, English","Gospel Music Production, Worship Studies"
S089,"IRE, History, Computer Studies","Islamic Heritage Preservation, Digital Archives"
S090,"Agriculture, Home Science, Business Studies","Farm-to-Table Business, Agri-Tourism"
S091,"Physics, Computer Studies, Art and Design","Scientific Visualization, Tech Art"
S092,"Chemistry, Mathematics, Computer Studies","Computational Chemistry, Molecular Modeling"
S093,"Biology, Geography, Computer Studies","Conservation Biology, Wildlife Tracking Systems"
S094,"Technical Drawing, Metalwork, Physics","Aerospace Components, Defense Systems"
S095,"Music, Computer Studies, Mathematics","Algorithmic Composition, Music AI"
S096,"Business Studies, French, Geography","Wine Commerce, European Market Analysis"
S097,"History, Kiswahili, CRE","African Religious History, Oral Traditions"
S098,"Art and Design, Woodwork, Computer Studies","Digital Fabrication, 3D Printing"
S099,"Home Science, Biology, Chemistry","Geriatric Nutrition, Healthspan Research"
S100,"Computer Studies, Physics, German","Autonomous Vehicle Software, German Tech Markets"
S101,"Mathematics, Physics, Computer Studies","Programming, Robotics"
S102,"English, Kiswahili, History","Writing, Reading"
S103,"Biology, Chemistry, Agriculture","Farming, Nature"
S104,"Geography, Business Studies, Computer Studies","Maps, E-commerce"
S105,"Art and Design, Music, English","Drawing, Singing"
S106,"Computer Studies, Mathematics, Physics","Coding, Electronics"
S107,"Home Science, Biology, Chemistry","Cooking, Health"
S108,"Technical Drawing, Building Construction, Mathematics","Design, Construction"
S109,"Business Studies, Mathematics, Computer Studies","Business, Technology"
S110,"French, English, History","Languages, Culture"
S111,"German, Computer Studies, Mathematics","Software, Engineering"
S112,"Chemistry, Physics, Mathematics","Science, Experiments"
S113,"Building Construction, Woodwork, Metalwork","Building, Crafting"
S114,"Woodwork, Art and Design, Mathematics","Woodworking, Design"
S115,"CRE, History, English","Religion, History"
S116,"IRE, Arabic, History","Islam, Culture"
S117,"Agriculture, Biology, Geography","Plants, Environment"
S118,"Music, Art and Design, Computer Studies","Music, Digital Art"
S119,"Geography, Computer Studies, Mathematics","Mapping, Data"
S120,"Business Studies, Economics, Mathematics","Finance, Numbers"
S121,"Physics, Computer Studies, Mathematics","Technology, Science"
